canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)C2(CCCC2)C(N)=N1,CHEMBL3949213,0.001,CHEMBL3888079,12.0
CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)CS1(=O)=O,CHEMBL3955051,0.0018,CHEMBL3888079,11.744727494896694
C[C@@]1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,CHEMBL3936264,0.0057,CHEMBL3888079,11.244125144327509
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,CHEMBL3930841,0.0082,CHEMBL3888079,11.086186147616283
C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CSCC(N)=N1,CHEMBL3982593,0.011,CHEMBL3888079,10.958607314841775
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C(C)(C)[S@@]3(=O)=NCC[C@@H]23)c1,CHEMBL4561849,0.09,CHEMBL4342620,10.045757490560675
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OC[C@]3(C)F)c2)cn1,CHEMBL3680900,0.1,CHEMBL3705196,10.0
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]34CN(c5ncc(F)cn5)C[C@@H]3CSC(N)=N4)c2)cn1,CHEMBL5863499,0.149,CHEMBL5738941,9.826813731587727
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,CHEMBL6009196,0.186,CHEMBL5738941,9.730487055782083
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS3(=O)=NCCCCC3(C)C(N)=N2)c1,CHEMBL4588608,0.2,CHEMBL4342620,9.698970004336019
CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,CHEMBL6043173,0.2,CHEMBL5733314,9.698970004336019
CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[S@@]4(=O)=NCCCCN4C(N)=N3)c2)cn1,CHEMBL3741617,0.2,CHEMBL3744130,9.698970004336019
CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12,CHEMBL3695737,0.2,CHEMBL3705857,9.698970004336019
CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12,CHEMBL3260839,0.2,CHEMBL3267714,9.698970004336019
N#Cc1ccc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,CHEMBL6020648,0.241,CHEMBL5738941,9.61798295742513
CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(NC(=O)c3ccccc3)=N4)c2)cn1,CHEMBL5857457,0.287,CHEMBL5738941,9.542118103266008
Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(N)=N2)c1,CHEMBL6023127,0.3,CHEMBL5730852,9.522878745280337
CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12,CHEMBL3260838,0.3,CHEMBL3267713,9.522878745280337
NC1=N[C@@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(-c4ccnc(F)c4)cc32)c2nccn21,CHEMBL3677271,0.3,CHEMBL3705922,9.522878745280337
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,CHEMBL4472708,0.3,CHEMBL4343402,9.522878745280337
CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccc(Cl)c3)ccc1Oc1c(F)cc(C3=CCOCC3)cc12,CHEMBL3695734,0.3,CHEMBL3705857,9.522878745280337
