canonical_smiles,molecule_chembl_id,Ki_nM,assay_chembl_id,pIC50
CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,CHEMBL289330,0.003,CHEMBL982124,11.522878745280337
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL297302,0.027,CHEMBL3820059,10.568636235841012
O=C(CCCN1[C@@H]2CC[C@H]1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,CHEMBL4451384,0.05248,CHEMBL4416273,10.280006173632396
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCC5)CC3)cc21,CHEMBL1257382,0.05752,CHEMBL1260558,10.240181122625174
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,CHEMBL1303,0.06,CHEMBL671417,10.221848749616356
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,CHEMBL398615,0.07,CHEMBL3887246,10.154901959985743
Cc1cccc(C2=CCN(CCNC(=O)C3CCC(F)(F)CC3)CC2)n1,CHEMBL6064944,0.1,CHEMBL5736831,10.0
O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,CHEMBL4245263,0.1,CHEMBL4229838,10.0
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,CHEMBL8946,0.117,CHEMBL3270692,9.931814138253838
O=C(CCCN1CCC(O)(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,CHEMBL4570273,0.1202,CHEMBL4416273,9.92009553233328
CCOc1cccc2cc(CNCCCCOc3ccc4ccc(=O)[nH]c4c3)oc12,CHEMBL5441140,0.1244,CHEMBL5385535,9.9051796196452
O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4246655,0.14,CHEMBL4229838,9.853871964321762
CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,CHEMBL178803,0.14,CHEMBL840158,9.853871964321762
O=C(CCCN1CCC(O)(c2ccc(Cl)c(Cl)c2)CC1)c1ccc(F)cc1,CHEMBL4544491,0.1549,CHEMBL4416273,9.809948582240795
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,CHEMBL8514,0.155,CHEMBL3297335,9.809668301829708
O=C(CCCN1CCC2(c3ccc(Cl)cc3)CC2C1)c1ccc(F)cc1,CHEMBL4528835,0.1585,CHEMBL4416273,9.79997073344623
O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1ccc(-c2ccsc2)cc1,CHEMBL1739963,0.17,CHEMBL4350893,9.769551078621726
COc1ccccc1N1CCN(CCOc2ccc3[nH]c(=S)[nH]c3c2)CC1,CHEMBL2298829,0.19,CHEMBL3073105,9.721246399047171
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,CHEMBL3976282,0.19,CHEMBL3872755,9.721246399047171
O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1,CHEMBL4747225,0.1995,CHEMBL4685403,9.700057099977233
CCCCc1cc(-c2ccsc2)cc(N2CCN(C)CC2)n1,CHEMBL5394961,0.2,CHEMBL5391038,9.698970004336019
O=C(NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1)C1CCC(F)(F)CC1,CHEMBL6030256,0.2,CHEMBL5736831,9.698970004336019
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,CHEMBL267930,0.2,CHEMBL673098,9.698970004336019
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccc4[nH]ccc4c3O1)CC2,CHEMBL317433,0.2,CHEMBL670743,9.698970004336019
COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C#N)c3c2)CC1,CHEMBL4063235,0.20500000000000002,CHEMBL4010156,9.688246138944246
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccc[nH]1,CHEMBL3938210,0.21,CHEMBL3872755,9.67778070526608
O=C(Cc1coc2ccccc12)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL5976918,0.23,CHEMBL5730969,9.638272163982407
COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCCC(C1)N2Cc1ccccc1,CHEMBL122533,0.2512,CHEMBL670399,9.599980364934842
O=C(Cc1cccs1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL5855446,0.27,CHEMBL5730969,9.568636235841012
O=S(=O)(c1cccc2cnccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4239091,0.3,CHEMBL4229838,9.522878745280337
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@H]1CCc2c(O)cccc2C1,CHEMBL113196,0.3,CHEMBL671034,9.522878745280337
CN([C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)S(=O)(=O)c1cccs1,CHEMBL3895540,0.3,CHEMBL3872755,9.522878745280337
O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,CHEMBL4062817,0.3,CHEMBL4041093,9.522878745280337
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCO5)CC3)cc2N1,CHEMBL3982360,0.3,CHEMBL3887359,9.522878745280337
CC(C)(C)C(=O)NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1,CHEMBL5853768,0.3,CHEMBL5736831,9.522878745280337
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CO3)CC1,CHEMBL6004129,0.3,CHEMBL5733907,9.522878745280337
O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCC5)CC3)cc21,CHEMBL1257262,0.302,CHEMBL1260558,9.51999305704285
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,CHEMBL160296,0.31,CHEMBL2169117,9.508638306165727
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2o1,CHEMBL6052546,0.32,CHEMBL5730969,9.494850021680094
O=C(CCCN1CCC(O)(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(F)cc1,CHEMBL4436610,0.3236,CHEMBL4416273,9.489991487059765
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccccc1,CHEMBL3920252,0.33,CHEMBL3872755,9.481486060122112
CN1CCN(C2Cc3ccccc3Sc3ccc(Cc4nnn(C)n4)cc32)CC1,CHEMBL1259128,0.35,CHEMBL1261596,9.455931955649724
O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccnc1,CHEMBL3933256,0.35,CHEMBL3872755,9.455931955649724
O=Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,CHEMBL4060403,0.355,CHEMBL4010156,9.449771646944907
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,CHEMBL1201087,0.36,CHEMBL5527105,9.443697499232712
CCN(Cc1ccc(C)cc1)Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1,CHEMBL112705,0.3981,CHEMBL674353,9.400007822415901
Cc1cccc(C2CCN(CCNC(=O)C3CCC(F)(F)CC3)CC2)n1,CHEMBL6009219,0.4,CHEMBL5736831,9.397940008672037
O=C(NCCN1CCC(c2cccc(C(F)(F)F)n2)CC1)C1CCC(F)(F)CC1,CHEMBL5798159,0.4,CHEMBL5736831,9.397940008672037
Clc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1Cl,CHEMBL1223616,0.4,CHEMBL1225816,9.397940008672037
COc1ccccc1N1CCN(CCCc2ccc3[nH]c(=S)[nH]c3c2)CC1,CHEMBL2298822,0.4,CHEMBL3073105,9.397940008672037
Cc1cccc(C2=CCN(CCNC(=O)C3CCOCC3)CC2)n1,CHEMBL5823916,0.4,CHEMBL5736831,9.397940008672037
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5c4OCCO5)CC3)cc2[nH]1,CHEMBL3966956,0.4,CHEMBL3887359,9.397940008672037
Oc1nc2cccc(N3CCN(Cc4ccc(O)c(-c5ccccc5)c4)CC3)c2o1,CHEMBL80230,0.41,CHEMBL672308,9.387216143280265
CCN(C)CCc1c(-c2ccc(C#N)cc2)[nH]c2ccccc12,CHEMBL91542,0.42,CHEMBL671361,9.3767507096021
Cc1ccc(S(=O)(=O)N[C@H]2CC[C@H](CCN3CCN(c4nsc5ccccc45)CC3)CC2)cc1,CHEMBL3948056,0.42,CHEMBL3872755,9.3767507096021
Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc45)CC3)[nH]2)cc1,CHEMBL292187,0.42,CHEMBL672308,9.3767507096021
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2[nH]1,CHEMBL3905247,0.43,CHEMBL3872755,9.366531544420413
O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,CHEMBL3966842,0.43,CHEMBL3872755,9.366531544420413
c1ccc(-c2cccc(CN3CCN4c5cccc6[nH]cc(c56)CC4C3)c2)cc1,CHEMBL3286578,0.43955,CHEMBL3294601,9.356991715609563
COc1ccccc1N1CCN(CCCCOc2ccn3ncc(/C=N/O)c3c2)CC1,CHEMBL4060461,0.44,CHEMBL4010156,9.356547323513812
O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1,CHEMBL4795995,0.4467,CHEMBL4685403,9.349984047528162
O=C(CCCN1CCC(O)(c2cc(Cl)cc(Cl)c2)CC1)c1ccc(F)cc1,CHEMBL4436241,0.4467,CHEMBL4416273,9.349984047528162
CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)C1CCc2c(O)cccc2C1,CHEMBL109787,0.45,CHEMBL671034,9.346787486224656
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCO5)CC3)nc2N1,CHEMBL3912435,0.45,CHEMBL3887359,9.346787486224656
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12713,0.45,CHEMBL672169,9.346787486224656
N#Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,CHEMBL3287405,0.44999999999999996,CHEMBL3295080,9.346787486224656
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,CHEMBL267932,0.4571,CHEMBL3270692,9.33998877871067
Oc1nc2cccc(N3CCN(Cc4cc(-c5ccc(F)cc5)ccn4)CC3)c2o1,CHEMBL308345,0.47,CHEMBL672308,9.327902142064282
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCC(=O)N5)CC3)cc2N1,CHEMBL3983588,0.47,CHEMBL3887359,9.327902142064282
CCc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)NC)CC3)CC2)c1Cl,CHEMBL5425134,0.48,CHEMBL5381008,9.318758762624412
CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,CHEMBL304902,0.49,CHEMBL3705566,9.309803919971486
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CHEMBL2028019,0.4956,CHEMBL3089794,9.304868702295973
O=S(=O)(c1cccc2cnccc12)N1CCC[C@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4242392,0.5,CHEMBL4229838,9.301029995663981
O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,CHEMBL1802360,0.5012,CHEMBL2149602,9.299988937677888
CCCCn1cc(CCCOc2ccc(C(=O)NCCCCN(CCC)[C@H]3CCc4c(O)cccc4C3)cc2OC)nn1,CHEMBL3577346,0.505,CHEMBL3578854,9.296708621881338
CCN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL3971907,0.51,CHEMBL3872755,9.292429823902063
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,CHEMBL2105760,0.51,CHEMBL4314365,9.292429823902063
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL3960785,0.53,CHEMBL3872755,9.275724130399212
O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccn2ncc(/C=N\O)c2c1,CHEMBL4069091,0.5349999999999999,CHEMBL4010156,9.271646217978772
O=C(CCCN1CC[Si](O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL2204343,0.55,CHEMBL2208721,9.259637310505756
Clc1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1Cl,CHEMBL1223856,0.55,CHEMBL1225816,9.259637310505756
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4COC5)CC3)cc21,CHEMBL1257493,0.5751999999999999,CHEMBL1260558,9.240181122625174
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)cc21,CHEMBL1257735,0.5757,CHEMBL1260558,9.239803770544865
O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2o1,CHEMBL5891297,0.58,CHEMBL5730969,9.236572006437063
Clc1cccc(N2CCN(CCCCNc3ccc(-c4ccccc4)cn3)CC2)c1Cl,CHEMBL1223800,0.59,CHEMBL1225816,9.229147988357855
Clc1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1Cl,CHEMBL1223683,0.6,CHEMBL1225816,9.221848749616356
O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,CHEMBL80919,0.6,CHEMBL671651,9.221848749616356
COc1nc2sc(C(=O)NCCCCCCN3CCC(c4ccc(Cl)cc4)CC3)c(N)c2c(C)c1Cl,CHEMBL3298828,0.6083000000000001,CHEMBL3300162,9.215882183537076
O=C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL5095172,0.615,CHEMBL5733907,9.211124884224583
CN1CCN(C2Cc3ccccc3Sc3ccc(-c4cccnc4)cc32)CC1,CHEMBL1259023,0.62,CHEMBL1261591,9.207608310501746
C=CCN1CCC[C@H]1CNC(=O)c1cccc(CCCF)c1,CHEMBL3265329,0.63,CHEMBL3265956,9.200659450546418
Cc1c(S(=O)(=O)N[C@@H]2CCN(CCCc3noc4ccccc34)C2)sc2ccc(F)cc12,CHEMBL4747978,0.631,CHEMBL4685403,9.199970640755865
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CHEMBL1403281,0.65,CHEMBL1909140,9.187086643357144
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL157138,0.66,CHEMBL672313,9.18045606445813
O=C(CCCN1CCC2(CC1)C(=O)N(CCc1ccc(Nc3ccc([N+](=O)[O-])c4nonc34)cc1)CN2c1ccccc1)c1ccc(F)cc1,CHEMBL92649,0.66,CHEMBL671034,9.18045606445813
S=c1[nH]c2ccc(OCCN3CCN(c4ccccc4)CC3)cc2[nH]1,CHEMBL2298827,0.67,CHEMBL3073105,9.173925197299173
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,CHEMBL1255588,0.6699999999999999,CHEMBL670395,9.173925197299173
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,CHEMBL64249,0.67,CHEMBL1261591,9.173925197299173
CCCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,CHEMBL4865434,0.688,CHEMBL4828545,9.162411561764488
CCCN(CCCCOc1ccc2ccnn2c1)[C@H]1CCc2c(O)cccc2C1,CHEMBL4097330,0.69,CHEMBL4010156,9.161150909262744
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1S2,CHEMBL3646150,0.7,CHEMBL3705566,9.154901959985743
O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,CHEMBL4092243,0.7,CHEMBL4041093,9.154901959985743
O=S(=O)(c1cccc2ncccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4242858,0.7,CHEMBL4229838,9.154901959985743
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)nc2N1,CHEMBL1774079,0.71,CHEMBL1776016,9.148741651280925
C=CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,CHEMBL241169,0.71,CHEMBL941850,9.148741651280925
CCOC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL3982486,0.71,CHEMBL3872755,9.148741651280925
N#Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,CHEMBL4091064,0.7150000000000001,CHEMBL4010156,9.145693958198919
CC(C)N(C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)C(C)C,CHEMBL3900752,0.72,CHEMBL3872755,9.142667503568731
Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,CHEMBL2104700,0.7244,CHEMBL4416273,9.14002155835798
CN1CCN(C2Cc3ccccc3Sc3ccc(-c4cncnc4)cc32)CC1,CHEMBL1259042,0.73,CHEMBL1261591,9.136677139879545
COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1,CHEMBL4096353,0.745,CHEMBL4010156,9.127843727251706
CCc1cccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)N(C)C)CC3)CC2)c1Cl,CHEMBL5415846,0.75,CHEMBL5381008,9.1249387366083
FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,CHEMBL1223857,0.76,CHEMBL1225816,9.119186407719209
O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5c4OCC(=O)N5)CC3)cc2N1,CHEMBL4072780,0.77,CHEMBL4015806,9.113509274827518
