canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,CHEMBL63786,0.003,CHEMBL683040,11.522878745280337
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53711,0.006,CHEMBL674648,11.221848749616356
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,CHEMBL35820,0.006,CHEMBL677389,11.221848749616356
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,CHEMBL66031,0.008,CHEMBL679944,11.096910013008056
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53753,0.008,CHEMBL679944,11.096910013008056
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,CHEMBL176582,0.01,CHEMBL683040,11.0
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,CHEMBL5270693,0.02,CHEMBL5260455,10.698970004336019
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,CHEMBL174426,0.025,CHEMBL683040,10.602059991327963
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,CHEMBL5790648,0.034,CHEMBL5736969,10.468521082957745
CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,CHEMBL6054692,0.0365,CHEMBL5736969,10.437707135543526
C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,CHEMBL3613702,0.037,CHEMBL3616083,10.431798275933005
CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,CHEMBL5968640,0.0455,CHEMBL5736969,10.341988603342887
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,CHEMBL5915655,0.05,CHEMBL5736967,10.301029995663981
CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,CHEMBL5746224,0.051000000000000004,CHEMBL5736969,10.292429823902063
COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,CHEMBL5811442,0.052,CHEMBL5738256,10.2839966563652
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,CHEMBL5997498,0.060000000000000005,CHEMBL5736967,10.221848749616356
