canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,CHEMBL1257821,0.14,CHEMBL1259359,9.853871964321762
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,CHEMBL1257820,0.25,CHEMBL1259359,9.602059991327963
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,CHEMBL1257578,0.26,CHEMBL1259359,9.585026652029182
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c1,CHEMBL1257698,0.38,CHEMBL1259359,9.42021640338319
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,CHEMBL3422978,0.39,CHEMBL3424851,9.4089353929735
COC1OC2(CCN(Cc3ccccc3)CC2)c2cnn(-c3ccccc3)c21,CHEMBL410832,0.41,CHEMBL922329,9.387216143280265
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,CHEMBL1257577,0.43,CHEMBL1259359,9.366531544420413
Nc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,CHEMBL5858906,0.48,CHEMBL5733977,9.318758762624412
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1Cl,CHEMBL5794967,0.51,CHEMBL5734036,9.292429823902063
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1F,CHEMBL5870278,0.51,CHEMBL5733977,9.292429823902063
Nc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,CHEMBL6063759,0.52,CHEMBL5733977,9.2839966563652
Cc1cccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,CHEMBL1257937,0.52,CHEMBL1259359,9.2839966563652
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccc3c(c2)OCO3)c1,CHEMBL1258280,0.62,CHEMBL1259359,9.207608310501746
Cc1ccccc1CN1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,CHEMBL1257938,0.62,CHEMBL1259359,9.207608310501746
CCCCN1CCC2(CC1)OC(OC)c1c2cnn1-c1ccccc1,CHEMBL259732,0.65,CHEMBL922329,9.187086643357144
Nc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,CHEMBL5956282,0.65,CHEMBL5733977,9.187086643357144
O=c1cc(OCc2ccc3ccccc3c2)ccn1-c1ccc(OCCN2CCCC2)cc1,CHEMBL1642479,0.67,CHEMBL1648563,9.173925197299173
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)Nc2ccccc2)c1,CHEMBL1258503,0.72,CHEMBL1259359,9.142667503568731
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1F,CHEMBL3422952,0.73,CHEMBL3424851,9.136677139879545
CC1CN(CCc2ccc([N+](=O)[O-])cc2)CCN1CCc1ccc([N+](=O)[O-])cc1,CHEMBL2146867,0.76,CHEMBL2148626,9.119186407719209
CN(CCOc1ccc(-n2ccc(OCc3ccccc3)cc2=O)cc1)Cc1ccccc1,CHEMBL1642487,0.81,CHEMBL1648563,9.09151498112135
Cc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,CHEMBL3422970,0.87,CHEMBL3424851,9.060480747381382
C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(OC3CN(CCCF)C3)cn2)N1CC(F)(F)CO,CHEMBL5839811,0.88,CHEMBL5735025,9.05551732784983
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,CHEMBL3422959,0.89,CHEMBL3424851,9.050609993355087
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N2C(=O)CC[C@H]2CN2CCN(C)CC2)cc1)c1ccccc1,CHEMBL4171244,0.95,CHEMBL4136264,9.022276394711152
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2CCCc3ccccc32)c1,CHEMBL1258725,0.95,CHEMBL1259359,9.022276394711152
O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(C(F)(F)F)nc56)(CC3)OC4)nc2N1,CHEMBL3422977,0.99,CHEMBL3424851,9.00436480540245
C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)(F)CO,CHEMBL5885156,1.0,CHEMBL5735025,9.0
CCc1cc(F)c2nc(N3CCC(NC4CCOCC4)CC3)c(-c3nc(C)no3)c(C)c2c1,CHEMBL4592045,1.0,CHEMBL4424285,9.0
Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,CHEMBL60796,1.0,CHEMBL766814,9.0
