Rank,Algorithm,R2_train,R2_test,RMSE_test,MAE_test,R2_CV,CV_SD,Time_s
1,Random Forest,0.9669,0.7204,0.7210,0.5045,0.7021,0.0146,364.1
2,SVR,0.8235,0.6893,0.7601,0.5304,0.6567,0.0125,308.7
3,XGBoost,0.9270,0.6810,0.7701,0.5424,0.6707,0.0172,11.9
4,LightGBM,0.8948,0.6690,0.7844,0.5517,0.6536,0.0175,3.5
5,Gradient Boosting,0.8760,0.6589,0.7963,0.5683,0.6544,0.0158,444.4
6,KNN,0.8305,0.6040,0.8581,0.6032,0.5660,0.0118,9.4
7,Elastic Net,0.6087,0.5987,0.8638,0.6549,0.5902,0.0208,12.6
8,LASSO,0.5914,0.5833,0.8802,0.6698,0.5839,0.0230,6.7
9,Neural Network (MLP),0.7724,0.5647,0.8996,0.6486,0.5397,0.0413,58.1
10,Ridge,0.5442,0.5362,0.9286,0.7107,0.4290,0.0194,3.1
